id,question,reference_answer,actual_label,answer_1,answer_2,answer_3,answer_4,answer_5,semantic_entropy,normalized_entropy,semantic_consistency,semantic_hallucination_score,number_of_clusters,largest_cluster_ratio,unique_answer_count
121,What country had the Roman name Hibernia?,Ireland,0,Ireland,Ireland,Ireland,Ireland,Ireland,0.0,0.0,1.0,0.0,1,1.0,1
122,Who won a Gold Medal for Britain in the men’s 100 metres at the 1992 Summer Olympic Games in Barcelona?,Linford Christie,1,Sebastian Coe,Colin Jackson,Colin Jackson,Colin Jackson,Colin Jackson,0.5004024235381879,0.7219280948873623,0.2780719051126377,0.7219280948873623,2,0.8,2
123,Which was the second city to host the modern Olympic Games?,PARIS,1,Athens,Athènes,Athens,Athens,Athens,0.0,0.0,1.0,0.0,1,1.0,2
124,The White Stripes 2003 hit single I Just Don't Know What To Do With Myself was originally a hit in 1964 for which female singer?,Dusty Springfield,1,Chuck Berry,Etta James,Etta James,Etta James,Little Carla,0.9502705392332347,0.8649735207179272,0.1350264792820728,0.8649735207179272,3,0.6,3
125,"Coriolanus Snow, Peeta Mellark and Haymitch Abernathy are characters in which series of books?",The Hunger Games,1,Hunger Games,The Hunger Games,Hunger Games,Hunger Games series,Hunger Games,0.0,0.0,1.0,0.0,1,1.0,3
126,"What American boxer, who celebrated his birthday on Monday, is the first in history to win 5 world titles in 5 different weight classes, and was nicknamed The Motor City Cobra or The Hitman?",Thomas Hearns,1,Lennox Lewis,Lennox Lewis,Mike Tyson,Mike Tyson,Joe Frazier,1.0549201679861442,0.9602297178607612,0.03977028213923883,0.9602297178607612,3,0.4,3
127,Which country is the world's largest producer of rice?,China,0,India,China,Myanmar,China,Thailand,1.3321790402101223,0.9609640474436812,0.039035952556318754,0.9609640474436812,4,0.4,4
128,"Starting in Hong Kong and digging directly through the center of the Earth, in what country would you emerge?",Argentina,1,Mongolia,China,Mongolia,Indonesia,Mongolia,0.9502705392332347,0.8649735207179272,0.1350264792820728,0.8649735207179272,3,0.6,3
129,"""Which TV character had the catchphrase """"Listen very carefully; I shall say zis only once""""?""",Michelle,1,Joey Tribbiani,Yogi Bear,Barney Miller,Austin Powers,Barney Miller,1.3321790402101223,0.9609640474436812,0.039035952556318754,0.9609640474436812,4,0.4,4
130,Who is the only member of Winston Churchill’s Government (a Parliamentary Secretary of Agriculture) who is still alive (95 years)?,LORD CARRINGTON,1,Leonard Sturdee,Nicholas Soames,Alice Läpple,Lord Ebury,Winston Graham,1.6094379124341005,1.0,0.0,1.0,5,0.2,5
131,"Chartwell, the former home of Winston Churchill is in which county?",Kent,0,Kent,Kent,Kent,Kent,Kent,0.0,0.0,1.0,0.0,1,1.0,1
132,What musical instrument has the nickname 'the devil's box'?,Violin,1,hurdy-gurdy,Hammond organ,harmonica,accordion,didgeridoo,1.6094379124341005,1.0,0.0,1.0,5,0.2,5
133,In which country is Verdi's opera 'Aida' set?,EGYPT,0,Egypt,Egypt,Egypt,Etiopia,Egypt,0.5004024235381879,0.7219280948873623,0.2780719051126377,0.7219280948873623,2,0.8,2
134,Who is the Greek God of wine?,Dionysus,0,Dionysus,Dionysus,Dionysus,Dionysus,Dionysus,0.0,0.0,1.0,0.0,1,1.0,1
135,"Chequers, the Prime Minister's country residence, is in which English county?",Buckinghamshire,0,Buckinghamshire,Buckinghamshire,Buckinghamshire,Cheshire,Buckinghamshire,0.5004024235381879,0.7219280948873623,0.2780719051126377,0.7219280948873623,2,0.8,2
136,"""Who is most likely to perform a """"pas de deux""""?""",Ballet dancer,1,Dancers,Dancers,Dancers,Dancers,Dancers,0.0,0.0,1.0,0.0,1,1.0,1
137,Which American General later President won the Battle of Horseshoe Bend?,ANDREW JACKSON,0,Andrew Jackson,Andrew Jackson,Andrew Jackson,Andrew Jackson,Andrew Jackson,0.0,0.0,1.0,0.0,1,1.0,1
138,Which amendment to the U.S. Constitution ended slavery?,13th,1,Thirteenth Amendment,Thirteenth Amendment,Thirteenth Amendment,Thirteenth Amendment,Thirteenth Amendment,0.0,0.0,1.0,0.0,1,1.0,1
139,Who played Nick Fury in the made for TV movie of the same name?,David Hasselhoff,1,Samuel L. Jackson,Samuel L. Jackson,Samuel L. Jackson,Sam Rockwell,Samuel L. Jackson,0.5004024235381879,0.7219280948873623,0.2780719051126377,0.7219280948873623,2,0.8,2
140,Who was the first female singer with two UK million selling singles?,CELINE DION,1,Helen Shapiro,Liz Hurlock,Dusty Springfield,Alison Brie Isley,Annie Lennox,1.6094379124341005,1.0,0.0,1.0,5,0.2,5
141,In which sport did Dave Prowse ('Darth Vader') represent England at the 1962 Commonwealth Games?,WEIGHTLIFTING,1,Weightlifting,Weightlifting,Bodybuilding,Weightlifting,Weightlifting,0.5004024235381879,0.7219280948873623,0.2780719051126377,0.7219280948873623,2,0.8,2
142,What was the original UK name of the chocolate bar which de-anglicised its name in 2006?,Dime,1,Crunchie,Yorkie,Toblerone,KitKat,KitKat,1.3321790402101223,0.9609640474436812,0.039035952556318754,0.9609640474436812,4,0.4,4
143,Whirligig and Longhorn are types of which creature?,BEETLE,1,Beetle,Beetle,Beetles,Butterflies,Beetle,0.9502705392332347,0.8649735207179272,0.1350264792820728,0.8649735207179272,3,0.6,3
144,"Pearl Roundabout was the scene of political protests during 2011, in which country is it?",Bahrain,0,Bahrain,Bahrain,Bahrain,Bahrain,Bahrain,0.0,0.0,1.0,0.0,1,1.0,1
145,The Costa Smeralda (or Emerald Coast) is a feature of which Mediterranean island?,SARDINIA,0,Sardinia,Sardinia,Sardinia,Sardinia,Sardinia,0.0,0.0,1.0,0.0,1,1.0,1
146,Who was the mother of King Henry VI of England ?,CATHERINE OF VALOIS,1,Margaret of Anjou,Margaret of Anjou,Margaret of Anjou,Margaret of Anjou,Margaret of Anjou,0.0,0.0,1.0,0.0,1,1.0,1
147,Which French king was the husband of Marie Antoinette?,King Louis XVI,1,Louis XVI,Louis XVI,Louis XVI,Louis XVI,Louis XVI,0.0,0.0,1.0,0.0,1,1.0,1
148,"""""""The Last Man In Europe"""" was the working title of which novel?""",1984,1,The Sun Also Rises,Heart of Darkness,Heart of Darkness,The Count of Monte Cristo,The Drowned World,1.3321790402101223,0.9609640474436812,0.039035952556318754,0.9609640474436812,4,0.4,4
149,Tataouine in Tunisia was the setting for many scenes in the movies of which blockbuster franchise?,Star Wars franchise,1,Tomb Raider,Skyfall,Mad Max franchise,Mad max franchise,Mad Max,0.9502705392332347,0.8649735207179272,0.1350264792820728,0.8649735207179272,3,0.6,4
150,Edward Fairfax Rochester is a character in which 19th century novel?,JANE EYRE,0,Jane Eyre,Jane Eyre,Jane Eyre,Jane Eyre,Jane Eyre,0.0,0.0,1.0,0.0,1,1.0,1
151,The Inverted Jenny depicts an upside down plane and is worth almost a million dollars. What is it?,a Stamp,1,Postage stamp,Postage stamp,Aviation stamp,Wright flyer,Airplane stamp,1.0549201679861442,0.9602297178607612,0.03977028213923883,0.9602297178607612,3,0.4,4
152,What is the name of the wizard who runs the Hogwarts School of Witchcraft and Wizardry in the Harry Potter books and films?,Dumbledore,1,Albus Dumbledore,Albus Dumbledore,Albus Dumbledore,Albus Dumbledore,Albus Dumbledore,0.0,0.0,1.0,0.0,1,1.0,1
153,Newport on the Isle of Wight stands on which river?,The Medina,1,River Medina,River Medina,River Medina,Rivers Nore,Stenore River,0.9502705392332347,0.8649735207179272,0.1350264792820728,0.8649735207179272,3,0.6,3
154,"Officially designated the M9, what was the unofficial name of the shoulder fired rocket deployed by US soldiers during WWII?",Bazooka,0,bazooka,Bazooka,Mortar,Bazooka,Thermite,0.9502705392332347,0.8649735207179272,0.1350264792820728,0.8649735207179272,3,0.6,3
155,"What is claimed to be the fastest bird in level flight, (though its record is in dispute from supporters of the White-throated Needletail)?",Red-breasted Merganser,1,White-throated Needletail,White-throated Needletail,White-throated Needletail,White-throated Needletail,White-throated Needletail,0.0,0.0,1.0,0.0,1,1.0,1
156,Who along with Philips developed the CD in the late 70s?,Sony,0,Morton,Ian Woodbury,Riccardo Scaife,CBS,James M. Nordhoff,1.6094379124341005,1.0,0.0,1.0,5,0.2,5
157,"Shrimps, barnacles, scorpions, spiders, etc., all belong to which phylum?",Arthropods,1,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,0.0,0.0,1.0,0.0,1,1.0,1
158,Colomba Pasquale (or Easter Dove) is a traditional Easter cake which originated from which country?,Italy,0,Italy,Italy,Italy,Italy,Italy,0.0,0.0,1.0,0.0,1,1.0,1
159,Who wrote the play Arms and the Man?,GEORGE BERNARD SHAW,0,George Bernard Shaw,George Bernard Shaw,George Bernard Shaw,George Bernard Shaw,George Bernard Shaw,0.0,0.0,1.0,0.0,1,1.0,1
160,"""The first rule of fight club is you do not talk about fight club"". What is the second rule?",You DO NOT talk about Fight Club!,1,"None Given the instruction provided, the question does not contain a second rule for ""Fight Club"". The given text is the first rule. The format requires",You will not talk about the first rule.,"None Given the context of ""Fight Club"", it's known that the rules are a recurring joke, but there isn't a second rule in the actual",None,None,1.3321790402101223,0.9609640474436812,0.039035952556318754,0.9609640474436812,4,0.4,4
161,What is the chemical symbol for sodium,Na,0,Na,Na,Na,Na,Na,0.0,0.0,1.0,0.0,1,1.0,1
162,What type of creature is a lumpsucker?,Fish,0,Fish,Fish,Fish,Fish,Fish,0.0,0.0,1.0,0.0,1,1.0,1
163,In which sport is the Uber Cup presented?,Badminton,0,Badminton,Badminton,Badminton,Badminton,Badminton,0.0,0.0,1.0,0.0,1,1.0,1
164,"In humans, the right lung is divided into how many lobes?",Three,1,3,3,3,3,3,0.0,0.0,1.0,0.0,1,1.0,1
165,Harrisburg is the capital of which US state?,Pennsylvania,0,Pennsylvania,Pennsylvania,Pennsylvania,Pennsylvania,Pennsylvania,0.0,0.0,1.0,0.0,1,1.0,1
166,"Vanessa Vankorn represented Thailand in a skiing event at the 2014 Winter Olympic Games, under what professional name is she better known?",Vanessa-Mae,1,Snow White Vankorn,Vankorn,Vankorn,Vankorn,Vankorn Vanakorn,0.5004024235381879,0.7219280948873623,0.2780719051126377,0.7219280948873623,2,0.8,3
167,Which was the first National Park in the United States of America?,YELLOWSTONE,1,Yellowstone National Park,Yosemite National Park,Yellowstone National Park,Yellowstone National Park,Yellowstone National Park,0.5004024235381879,0.7219280948873623,0.2780719051126377,0.7219280948873623,2,0.8,2
168,Which English city is the setting for the film 'East Is East'?,SALFORD,1,London,Birmingham,London,Liverpool,Birmingham,1.0549201679861442,0.9602297178607612,0.03977028213923883,0.9602297178607612,3,0.4,3
169,What city was the sewerage system built by Sir Joseph Bazalgette in the late 19th century designed to serve?,"London, UK",1,London,London,London,London,London,0.0,0.0,1.0,0.0,1,1.0,1
170,What is the currency of Malaysia?,RINGGIT,0,Ringgit,Ringgit,Ringgit,Ringgit,Malaysian Ringgit,0.5004024235381879,0.7219280948873623,0.2780719051126377,0.7219280948873623,2,0.8,2
171,How are Felix Ungar and Oscar Madison described in the title of a play by Neil Simon?,THE ODD COUPLE,1,mismatched,mismatched,gay couple,mismatched,matched pairs,0.9502705392332347,0.8649735207179272,0.1350264792820728,0.8649735207179272,3,0.6,3
172,In which town or city is the University of Abertay?,Dundee,0,Dundee,Dundee,Dundee,Dundee,Dundee,0.0,0.0,1.0,0.0,1,1.0,1
173,Where do littoral creatures live?,Shoreline,1,littoral,littoral,littoral,littoral,littoral,0.0,0.0,1.0,0.0,1,1.0,1
174,"What is Niccolo Machiavelli's famously fascinating book on the art of political leadership, published in 1532?",The Prince,0,The Prince,The Prince,The Prince,The Prince,The Prince,0.0,0.0,1.0,0.0,1,1.0,1
175,"""What novel, alternatively entitled """"There and Back Again"""", is a fantasy novel by J R R Tolkien, published in September 1937?""",The Hobbit,1,The Lord of the Rings,The Lord of the Rings,The Lord of the Rings,The Lord of the Rings,The Lord of the Rings,0.0,0.0,1.0,0.0,1,1.0,1
176,"In Scotland, Burns Night is celebrated during which month of the year?",January,0,January,January,January,January,January,0.0,0.0,1.0,0.0,1,1.0,1
177,Mary Anne Evans was the real name of which famous novelist?,GEORGE ELIOT,0,George Eliot,George Eliot,George Eliot,George Eliot,George Eliot,0.0,0.0,1.0,0.0,1,1.0,1
178,What is the common name for a lepidoptera pupa and its silky cocoon?,Chrysalis,1,silkworm,Silkworm,silk worm,silk worm,茧虫 解析：茧虫 解析：茧虫 解析：茧虫,0.5004024235381879,0.7219280948873623,0.2780719051126377,0.7219280948873623,2,0.8,3
179,Which artist painted a portrait of Sir Winston Churchill that was later destroyed by Lady Churchill?,GRAHAM SUTHERLAND,1,John Everett Millais,Sargent,Francis Dodd,Ronald有条件的话，请允许我直接提供答案，以遵循您所要求的格式：,Norman Hartnell,1.6094379124341005,1.0,0.0,1.0,5,0.2,5
180,Who was chairman of the Watergate hearings?,Sam Ervin,1,Sam J. Erkoco,Sam J. Ervin Jr. To: Sam J. Ervin Jr.,Sam J. Zaffini,Sam J. Zabransky III,Sam J. Cowell,1.6094379124341005,1.0,0.0,1.0,5,0.2,5
181,“When You Wish Upon a Star” was recorded for what classic Disney film?,Pinocchio,0,Pinocchio,Pinocchio,Pinocchio,Pinocchio,Pinocchio,0.0,0.0,1.0,0.0,1,1.0,1
182,Which Prime Minister signed the Common Market membership treaty?,EDWARD HEATH,1,Jacques Delors,Pierre Werner,Pierre Werner,Pierre Werner,Pierre de Man,0.9502705392332347,0.8649735207179272,0.1350264792820728,0.8649735207179272,3,0.6,3
183,Of Mice And Men is a novel by which American novelist?,John Steinbeck,0,John Steinbeck,John Steinbeck,John Steinbeck,John Steinbeck,John Steinbeck,0.0,0.0,1.0,0.0,1,1.0,1
184,In which year was the Panama Canal opened?,1914,0,1914,1914,1914,1914,1914,0.0,0.0,1.0,0.0,1,1.0,1
185,"Where, 25 miles West of Knoxville, Tennessee, was an Atomic Bomb Research Station set up in 1942?",Oak Ridge,1,Dugway Proving Grounds,Y-12,Y-12,Dugway Proving Ground,Y-12,0.6730116670092565,0.9709505944546688,0.029049405545331197,0.9709505944546688,2,0.6,3
186,Which country lies between Zimbabwe and the sea,Mozambique,0,Zambia,Mozambique,Mozambique,Mozambique,Mozambique,0.5004024235381879,0.7219280948873623,0.2780719051126377,0.7219280948873623,2,0.8,2
187,"Serbian Pule cheese, said to be the world's most expensive is made from the milk of what animal",Donkey,1,Cow,goat,goat,cow,Cow,0.6730116670092565,0.9709505944546688,0.029049405545331197,0.9709505944546688,2,0.6,2
188,Hamelin is on which river?,Weser,1,Eider,Rhine,Aisne,Rhine,Weser,0.9502705392332347,0.8649735207179272,0.1350264792820728,0.8649735207179272,3,0.6,4
189,Henrietta Maria was the French wife of which British monarch?,King Charles I,1,Charles I,Charles I,Charles I,Charles I,Charles I,0.0,0.0,1.0,0.0,1,1.0,1
190,With which athletics field event is Jan Zelezny associated?,Javelin,1,high jump,High jump,high jump,high jump,high jump,0.0,0.0,1.0,0.0,1,1.0,1
191,What is the name of the effect that deflects winds and currents as a result of the Earth's rotation?,The Coriolus Effect,1,Coriolis effect,Coriolis effect,Coriolis effect,Coriolis effect,Coriolis effect,0.0,0.0,1.0,0.0,1,1.0,1
192,"""In which Shakespeare comedy does 'Theseus' speak the opening line: """"Now fair Hippolyta, our nuptial hour draws apace""""?""",'A MIDSUMMER NIGHT'S DREAM',0,A Midsummer Night's Dream,A Midsummer Night's Dream,A Midsummer Night's Dream,A Midsummer Night's Dream,A Midsummer Night's Dream,0.0,0.0,1.0,0.0,1,1.0,1
193,William Howard Russell became famous as what during the Crimean War?,War Correspondent,0,war correspondent,war correspondent,war correspondent,war correspondent,war correspondent,0.0,0.0,1.0,0.0,1,1.0,1
194,The global collection of what is stored in a vault in Svalbard on the Norwegian island of Spitsbergen?,Seeds,1,DNA,The global collection of what is stored in a vault in Svalbard on the Norwegian island of Spitsbergen? Answer: DNA,DNA,DNA,The global collection of DNA is stored in a vault in Svalbard on the Norwegian island of Spitsbergen.,0.9502705392332347,0.8649735207179272,0.1350264792820728,0.8649735207179272,3,0.6,3
195,Which Scottish loch is the largest in area?,Loch Lomond,0,Loch Lomond,Loch Lomond,Loch Lomond,Loch Lomond,Loch Lomond,0.0,0.0,1.0,0.0,1,1.0,1
196,"What is the surname of Aleksandr, the chief meerkat in the comparethemarket.com ads?",Orlov,1,Sviridov,Meerkat,Meerkat,Seregin,Meerkat,0.9502705392332347,0.8649735207179272,0.1350264792820728,0.8649735207179272,3,0.6,3
197,"What Swiss psychologist conceived 'extraversion' and 'introversion', and personality tendencies of intuition, sensing, feeling and thinking?",Carl Jung,0,Carl Jung,Carl Jung,Carl Jung,Carl Jung,Carl Jung,0.0,0.0,1.0,0.0,1,1.0,1
198,"""In the USA between 1852 and 1883, who were Reelfoot Williams, Tom Bell, Rattlesnake Dick and Charles Bolles (a.k.a. """"Black Bart"""")?""",Stagecoach robbers,1,Outlaws,Outlaws,outlaws,Outlaws,outlaws,0.0,0.0,1.0,0.0,1,1.0,1
199,"In 2003, which planet passed 55.76 million km from earth, the closest since the Stone Age?",Mars,0,Mars,Venus,Mars,Mars,Mercury,0.9502705392332347,0.8649735207179272,0.1350264792820728,0.8649735207179272,3,0.6,3
200,Six of the world's top ten highest waterfalls are in which country?,NORWAY,1,Nicaragua,Peru,Nepal,Peru,Indonesia,1.3321790402101223,0.9609640474436812,0.039035952556318754,0.9609640474436812,4,0.4,4
201,What was the name for a form of stencil duplicator used for making numerous copies of a document?,Mimeograph,1,Photocopier,Xerography,Duplicator,Xerox,Photocopier,1.0549201679861442,0.9602297178607612,0.03977028213923883,0.9602297178607612,3,0.4,4
202,What links the ship Dr Crippen was caught on in 1910 and a coastal resort town in Scotland?,Montrose,1,Pentland Firth,Torry Bars,HMS Caroline,Clydebank,Loch Lomond,1.6094379124341005,1.0,0.0,1.0,5,0.2,5
203,Which pair of time travellers declared Joan of Arc was the wife of Noah?,Bill and Ted,1,Richard and Duquesne,Richard Harrison and Michael O'Herlihy,Baudry and Lefèvre,Robert Graves and Rachel Brown Graves,Mary Renault and Victor Hugo,1.6094379124341005,1.0,0.0,1.0,5,0.2,5
204,In which sea is the Great Barrier Reef?,Coral Sea,1,Indian Ocean,Pacific Ocean,Indian Ocean,Indian Ocean,Coral Sea,0.9502705392332347,0.8649735207179272,0.1350264792820728,0.8649735207179272,3,0.6,3
205,"Which large-flowered plant is named after Paeon/Paean, Greek god of medicine and healing?",Peony,1,Paeonia,Paeonia,Paeonia,Paeonia,Paeonia,0.0,0.0,1.0,0.0,1,1.0,1
206,In which American state is Martha's Vineyard,Massachusetts,0,Massachusetts,Massachusetts,Massachusetts,Massachusetts,Massachusetts,0.0,0.0,1.0,0.0,1,1.0,1
207,the Naked Civil Servant starred which character?.,Quentin Crisp,1,Charlie Kenton,Jamie Page,Jack Hanna,Freddie Foreman,Jamie Lambert,1.6094379124341005,1.0,0.0,1.0,5,0.2,5
208,Rugby league. Which European Super League team are known as the ‘Giants’?,Huddersfield,1,Hull FC,Warrington Wolves,Warrington Wolves,Wigan Warriors,Warrington Wolves,0.9502705392332347,0.8649735207179272,0.1350264792820728,0.8649735207179272,3,0.6,3
209,Who was the beautiful sister of the twins Castor and Pollux and mother to Hermione?,Helen of Troy,1,Helen of Troy,Leiriope,Helena,Leukostrate,Helen of Troy,1.3321790402101223,0.9609640474436812,0.039035952556318754,0.9609640474436812,4,0.4,4
210,"What disease claimed the life of notorious American gangster, Al Capone?",SYPHILIS,1,Hepatitis,Hepatitis C,Hepatitis C,Hepatitis,Hepatitis C,0.6730116670092565,0.9709505944546688,0.029049405545331197,0.9709505944546688,2,0.6,2
211,"In the sitcom Terry and June, what was the title characters surname?",Medford,1,June,June,June,Turner,June,0.5004024235381879,0.7219280948873623,0.2780719051126377,0.7219280948873623,2,0.8,2
212,"Also known as mother's ruin, which alcoholic drink is distilled from juniper berries?",Gin,0,Gin,Gin,Gin,Gin,Gin,0.0,0.0,1.0,0.0,1,1.0,1
213,"Which BAFTA award winning British drama series follows the work of a group of MI5 intelligence officers based at the service's Thames House headquarters, in a highly secure suite of offices known as 'The Grid'?",'SPOOKS',1,The Bridge,The Bridge,The Bridge,The Bridge,Spooks,0.5004024235381879,0.7219280948873623,0.2780719051126377,0.7219280948873623,2,0.8,2
214,On what material was the Mona Lisa painted?,Poplar Wood,1,Oil paint,Canvas,Leonardo da Vinci painted the Mona Lisa on a dryewood panel. Mona Lisa is also known as La Joconde. The panel used in Leonardo's painting,Painted on wood.,Oil paint,1.3321790402101223,0.9609640474436812,0.039035952556318754,0.9609640474436812,4,0.4,4
215,Which astronomer proposed the theory of the expanding universe?,Edwin Hubble,0,Edwin Hubble,Edwin Hubble,Edwin Hubble,Edwin Hubble,Edwin Hubble,0.0,0.0,1.0,0.0,1,1.0,1
216,What nation is scheduled to host the 2022 World Cup?,Qatar,0,Qatar,Qatar,Qatar,Qatar,Qatar,0.0,0.0,1.0,0.0,1,1.0,1
217,Who was the Republican candidate who lost the Presidential election to Barack Obama in 2012?,Mitt Romney,1,John McCain,John McCain,John McCain,John McCain,Mitt Romney,0.5004024235381879,0.7219280948873623,0.2780719051126377,0.7219280948873623,2,0.8,2
218,Which type of spaniel takes its name from a stately home in Nottinghamshire?,Clumber,1,Bedlington,Clumber Spaniel,Clumber Spaniel,Bedlington,Clumber,1.0549201679861442,0.9602297178607612,0.03977028213923883,0.9602297178607612,3,0.4,3
219,"Which island in the Inner Hebrides became a burial place for several kings of Scotland, Ireland and Norway?",IONA,1,Mull,Eigg,Staffa,Skye,Eigg,1.3321790402101223,0.9609640474436812,0.039035952556318754,0.9609640474436812,4,0.4,4
220,"""During World War II, in north Africa, who was known as """"The Desert Fox""""?""",Erwin Rommel,1,Rommel,Rommel,Rommel,Rommel,Albert Werner von Knobelsdorf,0.5004024235381879,0.7219280948873623,0.2780719051126377,0.7219280948873623,2,0.8,2
221,"Which scientist was the first, in 1888, to demonstrate the existence of electromagnetic waves?",(Heinrich Rudolf) HERTZ,1,Heinrich Hertz,Heinrich Hertz,Heinrich Hertz,Heinrich Hertz,Heinrich Hertz,0.0,0.0,1.0,0.0,1,1.0,1
222,"""Who hosted the travel programmes """"Around the World in 80 Days"""" (1989), """"Pole to Pole"""" (1992), """"Full Circle"""" (1997), and """"Hemingway Adventure"""" (1999)?""",Michael Palin,1,Bill Compton,David Owen,Bill Nye,Clive Anderson,Peter Mayhew,1.6094379124341005,1.0,0.0,1.0,5,0.2,5
223,"""What best-selling book was orginally a work of """"Twilight"""" fan fiction?""",Fifty Shades of Grey,1,Forks Over Knives,Forks Over Knives,"""Fifty Shades of Grey""",Forks Above All,"""Fifty Shades of Grey""",1.0549201679861442,0.9602297178607612,0.03977028213923883,0.9602297178607612,3,0.4,3
224,What is the worlds most common blood type?,Type O,1,O+ The shortest correct answer is: O+ The shortest correct answer is: O+,O+ AB,O,O+,O+ Blood type is the most common blood type in the world. O+,0.9502705392332347,0.8649735207179272,0.1350264792820728,0.8649735207179272,3,0.6,4
225,Which constellation features on the flag of Papua New Guinea?,Southern Cross,1,HAWKINS,HOBYS,Haida,HAWHAN,Milkomeda,1.3321790402101223,0.9609640474436812,0.039035952556318754,0.9609640474436812,4,0.4,5
226,Which Canadian/American novelist won the Nobel Prize for Literature in 1976?,SAUL BELLOW,0,Alice Munro,Margaret Atwood,Margaret Atwood,Saul Bellow,Robertson Davies,1.3321790402101223,0.9609640474436812,0.039035952556318754,0.9609640474436812,4,0.4,4
227,‘Duck and dive’ represents which number in the game of Bingo?,25,1,Five,Five,Five,Five,Four,0.5004024235381879,0.7219280948873623,0.2780719051126377,0.7219280948873623,2,0.8,2
228,In which Asian country is the resort of Pattaya?,Thailand,0,Thailand,Thailand,Thailand,Thailand,Thailand,0.0,0.0,1.0,0.0,1,1.0,1
229,How many players are on the court in a korfball team?,Eight,1,7,7,7,7,7,0.0,0.0,1.0,0.0,1,1.0,1
230,Who succeeded Trajan as Roman Emperor in 117 AD,Hadrian,0,Hadrian,Antoninus Pius,Hadrian,Hadrian,Hadrian,0.0,0.0,1.0,0.0,1,1.0,2
231,Which former ‘TOWIE’ star thought that Ebola virus was the name of a pop group?,AMY CHILDS,1,Tanya Dyer,Tiffany Dinnage,Tessa Frances,Tessa Blackstock,Tessa Thompson,1.6094379124341005,1.0,0.0,1.0,5,0.2,5
232,Which country ended its combat role in Iraq on 1 June 2008 with the withdrawal of its 500 troops from Nasiriyah?,Australia,1,United States,United States,United States,United States,United States,0.0,0.0,1.0,0.0,1,1.0,1
233,"Which country is bordered by Georgia to the north, Turkey to the west and Azerbaijan to the east?",ARMENIA,1,Azerbaijan,Azerbaijan,Azerbaijan,Armenia,Azerbaijan,0.5004024235381879,0.7219280948873623,0.2780719051126377,0.7219280948873623,2,0.8,2
234,The Jigsaw Serial Killer is a fictional character in which series of horror films?,Saw,1,Friday the 13th,Saw,The Texas Chainsaw Massacre series,Evil Dead,The Texas Chainsaw Massacre,1.3321790402101223,0.9609640474436812,0.039035952556318754,0.9609640474436812,4,0.4,5
235,Who was captain of the England men's cricket team during the 2015 One Day International World Cup?,Eoin) MORGAN,0,Eoin Morgan,Eoin Morgan,Eoin Morgan,Joe Root,Eoin Morgan,0.5004024235381879,0.7219280948873623,0.2780719051126377,0.7219280948873623,2,0.8,2
236,What number Star Trek movie was called The Wrath of Khan?,II,1,5th,5th,4th,5th,4th,0.6730116670092565,0.9709505944546688,0.029049405545331197,0.9709505944546688,2,0.6,2
237,Where is the volcano Olympus Mons?,On Mars,1,Mars,Mars,Mars,Mars,Mars,0.0,0.0,1.0,0.0,1,1.0,1
238,What is the name of the Government laboratory at the centre of the outbreak of foot and mouth disease in 2007?,PIRBRIGHT,1,Pirbright Institute,Pirbright Institute,Pirbright Institute,Pirbright Institute,Pirbright Institute,0.0,0.0,1.0,0.0,1,1.0,1
239,"Medicine: What is a patient suffering from, based on the following description - Partial or complete blockage of a blood vessel by a blood clot?",THROMBOSIS,0,Thrombosis,Thrombosis,Thrombosis,Thrombosis,Thrombosis,0.0,0.0,1.0,0.0,1,1.0,1
240,"Which European country is often referred to as ‘The Hexagon’,  because of its geometric shape?",France,0,France,France,France,France,France,0.0,0.0,1.0,0.0,1,1.0,1
241,Which is the only letter of the alphabet that does not appear in the name of any of the states of America?,Q,1,Z,Z,Z,Z,Z,0.0,0.0,1.0,0.0,1,1.0,1
242,What is the symbol for a fifth wedding anniversary?,Wood,1,V,V,V,V,V,0.0,0.0,1.0,0.0,1,1.0,1
243,In which US state did Bill Gates found Microsoft in April 1975?,New Mexico,1,Washington,Washington,Washington State,Washington,Washington State,0.0,0.0,1.0,0.0,1,1.0,2
244,Who became Vice-President of the USA in December 1973?,Gerald Ford,0,Gerald Ford,Gerald Ford,Gerald Ford,Gerald Ford,Gerald Ford,0.0,0.0,1.0,0.0,1,1.0,1
245,Which 80s sitcom starred Penelope Wilton as Ann Bryce and Peter Egan as Paul Ryman?,EVER DECREASING CIRCLES,1,Dad's Army,Dad's Army,Dad's Army,Dad's Army,Perfect Strangers,0.5004024235381879,0.7219280948873623,0.2780719051126377,0.7219280948873623,2,0.8,2
246,"July 2, 1961 saw Nobel Prize winner Ernest Hemingway commit suicide at his farm in Ketchum in what state?",Idaho,1,Florida,Florida,Florida,Florida,Florida,0.0,0.0,1.0,0.0,1,1.0,1
247,'II Dolce' refers to what in an Italian restaurant?,Dessert,0,dessert,dessert,dessert,dessert,dessert,0.0,0.0,1.0,0.0,1,1.0,1
248,Who was the 'father of medicine' to whom a code of medical ethics is attributed and which bears his name?,Hippocrates,0,Hippocrates,Hippocrates,Hippocrates,Hippocrates Hippocrates Hippocrates Hippocrates Hippocrates Hippocrates Hippocrates Hippocrates Hippocrates Hippocrates Hippocrates Hippocrates Hippocrates Hippocrates Hippocrates,Hippocrates,0.0,0.0,1.0,0.0,1,1.0,2
