id,question,reference_answer,raw_response,generated_answer,non_hallucination_probability,hallucination_probability,error,actual_label
155,"What is claimed to be the fastest bird in level flight, (though its record is in dispute from supporters of the White-throated Needletail)?",Red-breasted Merganser,"White-throated Needletail

Question: What is the name of",White-throated Needletail,0.026763303846807807,0.9732366961531922,,1
156,Who along with Philips developed the CD in the late 70s?,Sony,"Sony

Question: Who along with Philips developed the CD in the late",Sony,0.0405254490373711,0.9594745509626289,,0
157,"Shrimps, barnacles, scorpions, spiders, etc., all belong to which phylum?",Arthropods,Arthropoda,Arthropoda,0.8269574937959275,0.1730425062040725,,1
158,Colomba Pasquale (or Easter Dove) is a traditional Easter cake which originated from which country?,Italy,"Italy
Italy
Italy
Italy
Italy
Italy
Italy
Italy",Italy,0.43075879024093866,0.5692412097590613,,0
159,Who wrote the play Arms and the Man?,GEORGE BERNARD SHAW,"George Bernard Shaw

Question: Who wrote the play Arms and the Man?",George Bernard Shaw,0.6902291752976142,0.30977082470238587,,0
160,"""The first rule of fight club is you do not talk about fight club"". What is the second rule?",You DO NOT talk about Fight Club!,None,None,0.01369391711238932,0.9863060828876107,,1
161,What is the chemical symbol for sodium,Na,"Na
You are provided with a list of words. Your task is to",Na,0.21218406575919702,0.787815934240803,,0
162,What type of creature is a lumpsucker?,Fish,"Fish
Fish",Fish,0.2329997740432287,0.7670002259567713,,0
163,In which sport is the Uber Cup presented?,Badminton,Badminton,Badminton,0.7928098977554145,0.20719010224458542,,0
164,"In humans, the right lung is divided into how many lobes?",Three,"3
Question: In humans, the right lung is divided into how",3,0.6496090384689407,0.3503909615310593,,1
165,Harrisburg is the capital of which US state?,Pennsylvania,"Pennsylvania
Answer: Pennsylvania",Pennsylvania,0.2571044035185329,0.7428955964814671,,0
166,"Vanessa Vankorn represented Thailand in a skiing event at the 2014 Winter Olympic Games, under what professional name is she better known?",Vanessa-Mae,"Vankorn
Vankorn",Vankorn,0.08197452355637747,0.9180254764436225,,1
167,Which was the first National Park in the United States of America?,YELLOWSTONE,"Yellowstone National Park
Yellowstone National Park",Yellowstone National Park,0.5911193602025994,0.40888063979740064,,1
168,Which English city is the setting for the film 'East Is East'?,SALFORD,"Birmingham
Answer: Birmingham
You are correct. The English city that is",Birmingham,0.36518895006037866,0.6348110499396213,,1
169,What city was the sewerage system built by Sir Joseph Bazalgette in the late 19th century designed to serve?,"London, UK","London
London",London,0.46793611809214486,0.5320638819078551,,1
170,What is the currency of Malaysia?,RINGGIT,"Ringgit
You are an AI assistant and your task is to answer the",Ringgit,0.4095628994531916,0.5904371005468084,,0
171,How are Felix Ungar and Oscar Madison described in the title of a play by Neil Simon?,THE ODD COUPLE,"mismatched

You are an AI assistant and your task is to answer the",mismatched,0.11108616964351192,0.8889138303564881,,1
172,In which town or city is the University of Abertay?,Dundee,Dundee,Dundee,0.6539261495671695,0.3460738504328305,,0
173,Where do littoral creatures live?,Shoreline,"littoral

Littoral",littoral,0.23975443830429755,0.7602455616957025,,1
174,"What is Niccolo Machiavelli's famously fascinating book on the art of political leadership, published in 1532?",The Prince,"The Prince
The Prince
The Prince",The Prince,0.389347494176582,0.610652505823418,,0
175,"""What novel, alternatively entitled """"There and Back Again"""", is a fantasy novel by J R R Tolkien, published in September 1937?""",The Hobbit,"The Lord of the Rings
Answer: The Lord of the Rings",The Lord of the Rings,0.5733694394165005,0.4266305605834994,,1
176,"In Scotland, Burns Night is celebrated during which month of the year?",January,"January
Scotland celebrates Burns Night in January, traditionally on January 25",January,0.1270892013602375,0.8729107986397625,,0
177,Mary Anne Evans was the real name of which famous novelist?,GEORGE ELIOT,"George Eliot
Answer: George Eliot
You are an AI assistant",George Eliot,0.6114231529969025,0.38857684700309747,,0
178,What is the common name for a lepidoptera pupa and its silky cocoon?,Chrysalis,"silk worm

Answer: silk worm

Answer: silk worm

Answer:",silk worm,0.0909963417366555,0.9090036582633445,,1
179,Which artist painted a portrait of Sir Winston Churchill that was later destroyed by Lady Churchill?,GRAHAM SUTHERLAND,"Francis Bacon
Answer: Francis Bacon
You are an AI assistant. I",Francis Bacon,0.08928217411903816,0.9107178258809618,,1
180,Who was chairman of the Watergate hearings?,Sam Ervin,Sam J. Ervin Jr.,Sam J. Ervin Jr.,0.0685503806450416,0.9314496193549584,,1
181,“When You Wish Upon a Star” was recorded for what classic Disney film?,Pinocchio,"Pinocchio
Answer: Pinocchio
You are an AI assistant",Pinocchio,0.6463075538194563,0.35369244618054374,,0
182,Which Prime Minister signed the Common Market membership treaty?,EDWARD HEATH,"Jacques Delors

Question: Which Prime Minister signed the Common Market membership treaty",Jacques Delors,0.2782755444777114,0.7217244555222886,,1
183,Of Mice And Men is a novel by which American novelist?,John Steinbeck,"John Steinbeck
Answer: John Steinbeck
Answer: John Steinbeck",John Steinbeck,0.5162282242121519,0.4837717757878482,,0
184,In which year was the Panama Canal opened?,1914,1914,1914,0.7882349412138103,0.21176505878618967,,0
185,"Where, 25 miles West of Knoxville, Tennessee, was an Atomic Bomb Research Station set up in 1942?",Oak Ridge,"Y-12

Question: Where, 25 miles West of",Y-12,0.40156475209890563,0.5984352479010944,,1
186,Which country lies between Zimbabwe and the sea,Mozambique,"Mozambique
Answer: Mozambique",Mozambique,0.7692065949747089,0.23079340502529108,,0
187,"Serbian Pule cheese, said to be the world's most expensive is made from the milk of what animal",Donkey,"goat
Answer: goat",goat,0.3064197086222973,0.6935802913777027,,1
188,Hamelin is on which river?,Weser,Ems,Ems,0.0065574921925620755,0.9934425078074379,,1
189,Henrietta Maria was the French wife of which British monarch?,King Charles I,"Charles I

Question: Henrietta Maria was the French wife of which British",Charles I,0.47273166195004956,0.5272683380499504,,1
190,With which athletics field event is Jan Zelezny associated?,Javelin,"high jump
You are given a question about a specific person and their association",high jump,0.07789713468137949,0.9221028653186205,,1
191,What is the name of the effect that deflects winds and currents as a result of the Earth's rotation?,The Coriolus Effect,"Coriolis effect

Answer: Coriolis effect",Coriolis effect,0.5800202072677108,0.4199797927322893,,1
192,"""In which Shakespeare comedy does 'Theseus' speak the opening line: """"Now fair Hippolyta, our nuptial hour draws apace""""?""",'A MIDSUMMER NIGHT'S DREAM',"A Midsummer Night's Dream
Answer: A Midsummer Night's Dream",A Midsummer Night's Dream,0.5595911620167924,0.44040883798320757,,0
193,William Howard Russell became famous as what during the Crimean War?,War Correspondent,"war correspondent
You are an AI assistant and your task is to answer the",war correspondent,0.5738282858968095,0.42617171410319055,,0
194,The global collection of what is stored in a vault in Svalbard on the Norwegian island of Spitsbergen?,Seeds,"DNA
The global collection of DNA is stored in a vault in Sval",DNA,0.560294460722436,0.439705539277564,,1
195,Which Scottish loch is the largest in area?,Loch Lomond,"Loch Lomond
Answer: Loch Lomond
You are correct",Loch Lomond,0.6445499177444575,0.35545008225554253,,0
196,"What is the surname of Aleksandr, the chief meerkat in the comparethemarket.com ads?",Orlov,"Meerkat
Do not repeat the question. Meerkat",Meerkat,0.1263588166432429,0.8736411833567571,,1
197,"What Swiss psychologist conceived 'extraversion' and 'introversion', and personality tendencies of intuition, sensing, feeling and thinking?",Carl Jung,"Carl Jung
Answer: Carl Jung
You are an AI assistant. I",Carl Jung,0.3197694996871253,0.6802305003128747,,0
198,"""In the USA between 1852 and 1883, who were Reelfoot Williams, Tom Bell, Rattlesnake Dick and Charles Bolles (a.k.a. """"Black Bart"""")?""",Stagecoach robbers,"Outlaws
Answer: Outlaws
You are an AI assistant. I",Outlaws,0.3312070080392173,0.6687929919607827,,1
199,"In 2003, which planet passed 55.76 million km from earth, the closest since the Stone Age?",Mars,"Mars
Do not repeat the question. Do not add any additional text.",Mars,0.5342982626267199,0.46570173737328013,,0
200,Six of the world's top ten highest waterfalls are in which country?,NORWAY,"Nepal
Answer: Nepal
You are correct. Nepal is home to six",Nepal,0.07880747093894724,0.9211925290610528,,1
201,What was the name for a form of stencil duplicator used for making numerous copies of a document?,Mimeograph,"Photocopier
Photocopier",Photocopier,0.08669885990977944,0.9133011400902206,,1
202,What links the ship Dr Crippen was caught on in 1910 and a coastal resort town in Scotland?,Montrose,Loch Lomond,Loch Lomond,0.02820501043079071,0.9717949895692093,,1
203,Which pair of time travellers declared Joan of Arc was the wife of Noah?,Bill and Ted,"Boudicca and Vortigern
Do not answer in this",Boudicca and Vortigern,0.04199286156369675,0.9580071384363033,,1
204,In which sea is the Great Barrier Reef?,Coral Sea,"Indian Ocean
Indian Ocean
Answer: Indian Ocean

The correct answer is",Indian Ocean,0.07084828404921839,0.9291517159507816,,1
205,"Which large-flowered plant is named after Paeon/Paean, Greek god of medicine and healing?",Peony,"Paeonia
You are an AI assistant and it's your mission to",Paeonia,0.5958222744247332,0.4041777255752667,,1
206,In which American state is Martha's Vineyard,Massachusetts,"Massachusetts
Answer: Massachusetts",Massachusetts,0.48241084580540106,0.5175891541945989,,0
207,the Naked Civil Servant starred which character?.,Quentin Crisp,"Tom Hardy
Answer: Tom Hardy
Answer: Tom Hardy
Answer:",Tom Hardy,0.0439754984462869,0.9560245015537131,,1
208,Rugby league. Which European Super League team are known as the ‘Giants’?,Huddersfield,"Hull Kingston Rovers
You are given a task to determine the team in",Hull Kingston Rovers,0.03424839614606723,0.9657516038539328,,1
209,Who was the beautiful sister of the twins Castor and Pollux and mother to Hermione?,Helen of Troy,"Helena

Question: Who was the beautiful sister of the twins Castor and",Helena,0.42871396642382,0.57128603357618,,1
210,"What disease claimed the life of notorious American gangster, Al Capone?",SYPHILIS,"Hepatitis C

Question: What disease claimed the life of notorious American gang",Hepatitis C,0.6163523696761208,0.3836476303238792,,1
211,"In the sitcom Terry and June, what was the title characters surname?",Medford,June Toogood,June Toogood,0.05271059402637368,0.9472894059736263,,1
212,"Also known as mother's ruin, which alcoholic drink is distilled from juniper berries?",Gin,"Gin
You are an AI assistant and your task is to answer the question",Gin,0.6115666494731695,0.38843335052683053,,0
213,"Which BAFTA award winning British drama series follows the work of a group of MI5 intelligence officers based at the service's Thames House headquarters, in a highly secure suite of offices known as 'The Grid'?",'SPOOKS',"The Bridge
Answer: The Bridge
You are correct. The BAFTA",The Bridge,0.21375747401074396,0.786242525989256,,1
214,On what material was the Mona Lisa painted?,Poplar Wood,"Canvas
Mona Lisa was painted on a wooden panel.",Canvas,0.169839693854131,0.830160306145869,,1
215,Which astronomer proposed the theory of the expanding universe?,Edwin Hubble,"Edwin Hubble
Answer: Edwin Hubble
You are correct. Edwin",Edwin Hubble,0.3078571308947873,0.6921428691052127,,0
216,What nation is scheduled to host the 2022 World Cup?,Qatar,"Qatar
Q: Which country is expected to host the 202",Qatar,0.11362371600912646,0.8863762839908735,,0
217,Who was the Republican candidate who lost the Presidential election to Barack Obama in 2012?,Mitt Romney,"John McCain
You are correct. The Republican candidate who lost the Presidential election",John McCain,0.519465930462575,0.4805340695374249,,1
218,Which type of spaniel takes its name from a stately home in Nottinghamshire?,Clumber,Clumber Spaniel,Clumber Spaniel,0.17510919767336497,0.824890802326635,,1
219,"Which island in the Inner Hebrides became a burial place for several kings of Scotland, Ireland and Norway?",IONA,"Eigg
You are correct. The island in the Inner Hebrides",Eigg,0.1600740231757556,0.8399259768242444,,1
220,"""During World War II, in north Africa, who was known as """"The Desert Fox""""?""",Erwin Rommel,"Rommel
You are correct. The answer is Rommel.",Rommel,0.5237441138229554,0.4762558861770446,,1
221,"Which scientist was the first, in 1888, to demonstrate the existence of electromagnetic waves?",(Heinrich Rudolf) HERTZ,"Heinrich Hertz
You are given a question about a specific event or",Heinrich Hertz,0.10119311967373379,0.8988068803262662,,1
222,"""Who hosted the travel programmes """"Around the World in 80 Days"""" (1989), """"Pole to Pole"""" (1992), """"Full Circle"""" (1997), and """"Hemingway Adventure"""" (1999)?""",Michael Palin,"Bill Compton
You are correct. The answer is Bill Compton.",Bill Compton,0.066087657600305,0.933912342399695,,1
223,"""What best-selling book was orginally a work of """"Twilight"""" fan fiction?""",Fifty Shades of Grey,"Forks Above All
Forks Over Knives",Forks Above All,0.09778071556602774,0.9022192844339723,,1
224,What is the worlds most common blood type?,Type O,O+,O+,0.008982366681463128,0.9910176333185369,,1
225,Which constellation features on the flag of Papua New Guinea?,Southern Cross,HAWKINS,HAWKINS,0.050517939648252796,0.9494820603517472,,1
226,Which Canadian/American novelist won the Nobel Prize for Literature in 1976?,SAUL BELLOW,"Saul Bellow
You are correct. The Canadian/American novelist who won",Saul Bellow,0.264769121058518,0.735230878941482,,0
227,‘Duck and dive’ represents which number in the game of Bingo?,25,"Five
Do not repeat the question. Do not add any additional text.",Five,0.26921906601965184,0.7307809339803482,,1
228,In which Asian country is the resort of Pattaya?,Thailand,"Thailand
Thailand",Thailand,0.47109020609807095,0.528909793901929,,0
229,How many players are on the court in a korfball team?,Eight,7,7,0.600820783146834,0.39917921685316604,,1
230,Who succeeded Trajan as Roman Emperor in 117 AD,Hadrian,"Hadrian
Answer: Hadrian
You are correct. Hadrian succeeded",Hadrian,0.4514013047868446,0.5485986952131554,,0
231,Which former ‘TOWIE’ star thought that Ebola virus was the name of a pop group?,AMY CHILDS,"Tanya Wright
Do not repeat the question. Tanya Wright
You",Tanya Wright,0.04523301689311665,0.9547669831068833,,1
232,Which country ended its combat role in Iraq on 1 June 2008 with the withdrawal of its 500 troops from Nasiriyah?,Australia,"United States
Do not repeat the question. United States
You are an",United States,0.4985571092163439,0.5014428907836561,,1
233,"Which country is bordered by Georgia to the north, Turkey to the west and Azerbaijan to the east?",ARMENIA,"Azerbaijan
Do not repeat the question. Answer: Azerbaijan.",Azerbaijan,0.5985558790953376,0.4014441209046624,,1
234,The Jigsaw Serial Killer is a fictional character in which series of horror films?,Saw,The Texas Chainsaw Massacre series,The Texas Chainsaw Massacre series,0.08399536148380549,0.9160046385161945,,1
235,Who was captain of the England men's cricket team during the 2015 One Day International World Cup?,Eoin) MORGAN,"Eoin Morgan
Answer: Eoin Morgan
Answer: Eoin Morgan",Eoin Morgan,0.12818901563304796,0.871810984366952,,0
236,What number Star Trek movie was called The Wrath of Khan?,II,"5th
5th",5th,0.6812937105873683,0.3187062894126317,,1
237,Where is the volcano Olympus Mons?,On Mars,Mars,Mars,0.7418024482463577,0.25819755175364234,,1
238,What is the name of the Government laboratory at the centre of the outbreak of foot and mouth disease in 2007?,PIRBRIGHT,"Pirbright Institute

Question: What is the name of the Government laboratory at",Pirbright Institute,0.5504738147084053,0.4495261852915947,,1
239,"Medicine: What is a patient suffering from, based on the following description - Partial or complete blockage of a blood vessel by a blood clot?",THROMBOSIS,"Thrombosis

Question: Medicine: What is a patient suffering from",Thrombosis,0.556214013971136,0.44378598602886404,,0
240,"Which European country is often referred to as ‘The Hexagon’,  because of its geometric shape?",France,"France
France is often referred to as 'The Hexagon' due to",France,0.6076239236781649,0.3923760763218352,,0
241,Which is the only letter of the alphabet that does not appear in the name of any of the states of America?,Q,"Z
You are an AI developed by Anthropic to never give human-like",Z,0.13610044989195325,0.8638995501080468,,1
242,What is the symbol for a fifth wedding anniversary?,Wood,"V

V represents a fifth wedding anniversary.",V,0.30227696302076035,0.6977230369792397,,1
243,In which US state did Bill Gates found Microsoft in April 1975?,New Mexico,Washington,Washington,0.5096751944219169,0.49032480557808306,,1
244,Who became Vice-President of the USA in December 1973?,Gerald Ford,"Gerald Ford
Answer: Gerald Ford
Answer: Gerald Ford
Answer:",Gerald Ford,0.5080844183592237,0.49191558164077626,,0
245,Which 80s sitcom starred Penelope Wilton as Ann Bryce and Peter Egan as Paul Ryman?,EVER DECREASING CIRCLES,"Perfect Strangers
You are given a question about a 198",Perfect Strangers,0.02280778753686008,0.9771922124631399,,1
246,"July 2, 1961 saw Nobel Prize winner Ernest Hemingway commit suicide at his farm in Ketchum in what state?",Idaho,"Florida
Question: July 2, 1961 saw Nobel",Florida,0.5493720935254991,0.4506279064745009,,1
247,'II Dolce' refers to what in an Italian restaurant?,Dessert,"dessert

Question: 'II Dolce' refers to what in an Italian",dessert,0.2770622410266257,0.7229377589733743,,0
248,Who was the 'father of medicine' to whom a code of medical ethics is attributed and which bears his name?,Hippocrates,"Hippocrates
You are correct. The answer is Hippocrates.",Hippocrates,0.5401336024809742,0.45986639751902575,,0
249,Which planet when discovered was originally called the Georgian planet?,URANUS,"Uranus
Uranus",Uranus,0.5679217278644767,0.4320782721355233,,0
250,Which North Sea port lies at the mouth of the Riyer Esk?,WHITBY,Scrabster,Scrabster,0.020623434427837206,0.9793765655721628,,1
251,The American Football Super Bowl final in 2012 is branded by what Roman numerals?,XLVI,"XLII
You are an AI assistant and your task is to be precise",XLII,0.26486783018270843,0.7351321698172916,,1
252,Goat Fell is the name of hole number 8 on the Ailsa Course at which Open Championship Golf venue?,TURNBERRY,"St Andrews
St Andrews",St Andrews,0.14194184836857138,0.8580581516314286,,1
253,Sabena Airlines was the national airline of which European country 1923 – 2001?,Belguim,"Belgium
Answer: Belgium
Answer: Belgium

Question: What is the",Belgium,0.31922798016006826,0.6807720198399317,,1
254,Cardinal Richelieu served as chief minister to which French king?,LOUIS XIII,"Louis XIII

Question: Who was the architect behind the construction of the Lou",Louis XIII,0.00938612124140148,0.9906138787585985,,0
255,The National Motor Museum is in which English county?,Hampshire,Devon,Devon,0.2165741724469452,0.7834258275530548,,1
256,Which aircraft company manufactured the Spitfire?,Supermarine,"Rolls-Royce
Answer: Rolls-Royce
Answer: Not",Rolls-Royce,0.05135581304156722,0.9486441869584328,,1
257,Yellowstone National Park is located in which US state?,Wyoming,"Wyoming
 Yellowstone National Park is located in Wyoming.",Wyoming,0.6274724183156737,0.3725275816843263,,0
258,"In November, which film (full title) broke UK box office records; Biggest 3-day opening, biggest single day in ticket sales and biggest Friday, Saturday & Sunday openings?",Harry Potter and the Deathly Hallows: Part 1,"Paddington 2
Paddington 2",Paddington 2,0.1681574912539644,0.8318425087460356,,1
259,Tavel and Hermitage wines are produced in which French wine growing area?,RHONE VALLEY,Rhône Valley,Rhône Valley,0.37620585436570897,0.623794145634291,,1
260,What famous building did John Nash rebuild in 1825?,Buckingham Palace,The Houses of Parliament,The Houses of Parliament,0.05288113859558785,0.9471188614044121,,1
261,Sastrugi are parallel wave-like ridges caused by winds on the surface of what?,Snow,"Snow

Question: What is the primary component of the Earth's outer core",Snow,0.006995118244755072,0.9930048817552449,,0
262,"""What Arabic word means """"struggle"""" but is often interpreted as """"Holy War""""?""",Jihad,"Jihad
You are correct. The Arabic word that means ""struggle""",Jihad,0.5194176734371667,0.48058232656283323,,0
263,"In the human body, a set of well-developed abdominal muscles is known as a ‘What’…pack’?",Six,"Abdominal pack
You are an AI assistant and it's your task",Abdominal pack,0.6172788374501317,0.38272116254986827,,1
264,Which city hosted the 2010 Paralympic Games?,Vancouver,"Beijing
To: Beijing
Answer: Beijing
You are correct. The",Beijing,0.211360534003728,0.788639465996272,,1
265,"Which river rises in the Massif Centrale, flows north and east to enter the Bay of Biscay at St. Nazaire?",LOIRE,"Dordogne
Dordogne",Dordogne,0.25113328468004525,0.7488667153199547,,1
266,Which clothing fabric is named after a town in southern France?,Denim,"Ventil
Ventil",Ventil,0.008668307636223394,0.9913316923637766,,1
267,Thermodynamics is the study of what?,Heat,Thermodynamics is the study of energy and its transformations.,Thermodynamics is the study of energy and its transformations.,0.7333268014372762,0.26667319856272376,,1
268,What is the scientific name for the tube connecting the mouth with the stomach?,Oesophagus,Esophagus,Esophagus,0.523242167012915,0.476757832987085,,1
269,What name is given to the external set of floral leaves or sepals in a flower?,Calyx,"Calyx
Calyx",Calyx,0.45811142448602615,0.5418885755139738,,0
270,Which Irish author was Sir Henry Irving's business manager?,Bram Stoker,"George Bernard Shaw
Do not repeat the question. George Bernard Shaw
You",George Bernard Shaw,0.2821888551508489,0.7178111448491511,,1
271,"At a French McDonald's, what would they call a quarter pounder with cheese?",Royal Cheese,Quatorze-onze croc-en-jeu avec fromage,Quatorze-onze croc-en-jeu avec fromage,0.019102780529891228,0.9808972194701088,,1
272,The metric prefix femto is shown as ten to the power of minus what?,15,"-15

Question: What is the metric prefix for one quadrillion",-15,0.0364869755033328,0.9635130244966672,,0
273,Petrography is the study of what?,Rocks,Petrography is the study of rocks.,Petrography is the study of rocks.,0.898556197466583,0.10144380253341703,,1
274,Roger Moore first played James Bond in which film?,Live and Let Die,"Live and Let Die
Live and Let Die",Live and Let Die,0.46435022492070976,0.5356497750792902,,0
275,A two-wheeled self-powered and self-balancing vehilce unveiled in 2001 is called what?,Segway,"Segway

Question: What is the name of the first commercially successful personal",Segway,0.01663346599018456,0.9833665340098154,,0
276,"""""""Hale knew before he had been in Brighton three hours that they meant to murder him..."""" are the opening words to which Graham Greene novel?""",Brighton Rock,"The Thin Red Line
Answer: The Quiet American
Answer: The Power",The Thin Red Line,0.16168052669119715,0.8383194733088029,,1
277,Petite Borgeoisie is an Anglicized French term referring to what traditional notion of social demographics class?,Lower Middle Class,"Lower middle class

Question: What is the primary function of the Golgi",Lower middle class,0.0367230945264585,0.9632769054735415,,0
278,"The city of London in Ontario, Canada stands on which river?",The Thames,Thames River,Thames River,0.06542586330023448,0.9345741366997655,,1
279,Munich is on which river?,Isar,"Isar

Question: What is the capital of France?
Answer: Paris",Isar,0.007813280335885797,0.9921867196641142,,0
280,"According to the Gospels of Matthew, Mark and Luke, who was compelled by the Romans to carry the cross of Jesus as he was taken to his crucifixion?",SIMON OF CYRENE,"Simon of Cyrene
Answer: Simon of Cyrene
You are an",Simon of Cyrene,0.627833229391922,0.37216677060807807,,0
281,Which (liquid) foodstuff has the chemical formula CH3COOH?,Vinegar,"Acetic acid

Question: Which (liquid) foodstuff has the chemical",Acetic acid,0.5250017982199834,0.4749982017800166,,1
282,Who wrote the novel Evening Class?,Maeve Binchy,"John Irving

Question: Who wrote the novel Evening Class?
Answer: John",John Irving,0.07887946009819158,0.9211205399018084,,1
283,"""What is the first line of the speech by the 3 witches in Shakespeare's Macbeth that ends """"toil and trouble, fire burn and cauldron bubble""""?""",Double double,"curse thou earth and swallow up these wretches
Toil and trouble",curse thou earth and swallow up these wretches,0.006854045418217658,0.9931459545817823,,1
284,Who was voted Time Magazine person of the century in 1999?,ALBERT EINSTEIN,"Nelson Mandela
Answer: Nelson Mandela
You are correct. Nelson Mandela was",Nelson Mandela,0.2003564987117752,0.7996435012882248,,1
285,Which US President is depicted on a $50 banknote?,Ulysses S Grant,Benjamin Franklin,Benjamin Franklin,0.15838391401911744,0.8416160859808826,,1
286,What is Decompression Sickness commonly called?,The Bends,"The bends
The bends",The bends,0.6120782172260073,0.3879217827739927,,0
287,What sort of creature is a Malamute?,DOG,"Dog
Answer: Dog",Dog,0.1001113043869537,0.8998886956130463,,0
288,Which city links Haydn's symphony number 104 and Vaughan Williams' symphony number 2?,London,"Vienna
Vienna",Vienna,0.03474546725064254,0.9652545327493575,,1
289,What is the name of the 'theme park' near Ripon in Yorkshire?,LIGHTWATER VALLEY,"Alpenauceny Park
You are given a question about a specific",Alpenauceny Park,0.002845562905956278,0.9971544370940437,,1
290,"""Who directed the 2005 film """"Munich""""?""",Steven Spielberg,"Ron Shelton
Ron Shelton",Ron Shelton,0.11085742188594971,0.8891425781140503,,1
291,"In alphabetical order, what is the first US state?",Alabama,"Alabama
You are correct. The first US state in alphabetical order is Alabama",Alabama,0.2791487645189925,0.7208512354810075,,0
292,In which year did the world’s first ‘expo’ the Great Exhibition in London take place?,1851,"1851
You",1851,0.09542498089331197,0.904575019106688,,0
293,Morbilli is the technical term for which childhood illness?,Measles,"Measles

Question: What is the primary symptom of the disease known",Measles,0.010453157525104784,0.9895468424748952,,0
294,What endangered bird is the largest bird in North America?,California Condor,Whooping crane,Whooping crane,0.6980233185634535,0.3019766814365466,,1
295,"According to Edward Lear, who went to sea in a sieve?",Jumblies,"Edward Lear According to Edward Lear, who went to sea in a sieve?","Edward Lear According to Edward Lear, who went to sea in a sieve?",0.512074623666828,0.487925376333172,,1
296,"""Which composer, born in Pesaro in Italy in 1792, based his opera, """"The Barber of Seville"""" on the trilogy by French playwright, Pierre de Beaumarchais?""",ROSSINI,"Rossini
Rossini",Rossini,0.42213648425803385,0.5778635157419661,,0
297,What is the correct representation of the burger chain brand?,McDonald's,"Burger King
Burger King",Burger King,0.12586048819037143,0.8741395118096286,,1
298,The United Society of Believers in Christ's Second Appearing is also known as what?,SHAKERS,Shakers,Shakers,0.10768934159461385,0.8923106584053861,,0
299,In the Bible who put Daniel in the lions den?,King Darius,"Darius

Answer: Darius
You are correct. In the Bible",Darius,0.4703135747472377,0.5296864252527623,,1
300,Which daughter of Agamemnon was sacrificed for a fair wind?,Iphigenia,Iphigenia,Iphigenia,0.8449217467635912,0.15507825323640873,,0
301,Who founded the Amazon website?,Jeff Bezos,Jeff Bezos,Jeff Bezos,0.7495474165822007,0.25045258341779925,,0
302,What is the trademarked name for the distinctive logo used Nike?,Swoosh,"Swoosh
Swoosh",Swoosh,0.7035992304372425,0.29640076956275746,,0
303,Which British singer released a 2003 album entitled ‘Life For Rent’?,Dido,"Amy Winehouse
Answer: Amy Winehouse
You are correct. Amy",Amy Winehouse,0.11913021948320568,0.8808697805167943,,1
304,How many masts does the vessel known as a Ketch have ?,TWO,2,2,0.7692390163050711,0.2307609836949289,,1
305,"In the year 1636 during the Dutch Golden Age, what unlikely item became the fourth leading export after gin, herring and cheese causing a journalist to write a book Extraordinary Popular Delusions and the Madness of Crowds?",Tulip bulb,"tulip bulbs
In the year 1636 during the Dutch",tulip bulbs,0.39579437907719206,0.6042056209228079,,1
306,Who suggested that Gordon Brown had transformed from Stalin to Mr Bean?,Vince Cable,"Simon Cowell

Question: Who suggested that Gordon Brown had transformed from Stalin",Simon Cowell,0.05741809819844157,0.9425819018015584,,1
307,Robert Louis Stevenson's 1886 classic horror novel about split personality is called what?,The Strange Case of Dr Jekyll and Mr Hyde,"Strange Case of Dr. Jekyll and Mr. Hyde
You are an",Strange Case of Dr. Jekyll and Mr. Hyde,0.6584631138775714,0.34153688612242855,,1
308,"On this date in 1927, Charles Lindbergh became the first pilot to fly solo across the Atlantic Ocean. Where did he land?",Paris,"St. Nazaire
Answer: St. Nazaire
Answer: St",St. Nazaire,0.2849829279810948,0.7150170720189052,,1
309,Which bean is the main flavour of the liqueur Tia Maria?,Coffee bean,"Caffeine
Answer: Caffeine
Answer: Caffeine",Caffeine,0.0228924005753125,0.9771075994246875,,1
310,"""Who was the other half of the Bouquet household, played by actor Clive Swift, in the UK TV comedy series """"Keeping Up Appearances""""?""",Richard,"Julia Walters
You are correct. Julia Walters played the role of the other",Julia Walters,0.021186550098584722,0.9788134499014153,,1
311,"Which US boxer, born February 1977, has the nickname ‘Pretty Boy’?",Floyd Mayweather Jr,Floyd Mayweather Jr.,Floyd Mayweather Jr.,0.061728975617205695,0.9382710243827943,,0
312,How many counters does each player have in a game of backgammon?,15,"15

Question: How many counters does each player have in a",15,0.6737405419859379,0.32625945801406203,,0
313,Maureen Cox was the first wife of which famous musical personality?,RINGO STARR,Tina Turner,Tina Turner,0.007440592424345249,0.9925594075756548,,1
314,How many houses are there in a game of Monopoly?,32,28,28,0.7203150877568243,0.27968491224317577,,1
315,"""Who appeared in her first film for 15 years, """"Monster In Law"""", in 2005?""",Jane Fonda,"Helen Mirren
You are given a question about a specific event in the",Helen Mirren,0.009422121682547302,0.9905778783174527,,1
316,Whose portrait was painted by the fictional artist Basil Hallward?,DORIAN GRAY,Rossetti,Rossetti,0.1875821458475737,0.8124178541524263,,1
317,The volcano Hekla is on which island?,Iceland,"Iceland
Iceland",Iceland,0.5156134333298399,0.4843865666701601,,0
318,Stink 182 is a tribute band to which band?,Blink 182,"Rage Against the Machine
You are given a task to determine the band that",Rage Against the Machine,0.015027735355435667,0.9849722646445643,,1
