id,question,reference_answer,generated_answer,actual_label,hallucination_probability,non_hallucination_probability,answer_1,answer_2,answer_3,answer_4,answer_5,semantic_entropy,normalized_entropy,semantic_consistency,semantic_hallucination_score,clusters,raw_response,error,generation_errors,hybrid_hallucination_probability,hybrid_predicted_label
79,In which country was Ursula Andrews born?,Switzerland,United States,1,0.771818325985111,0.2281816740148889,United States Andrews was born in the United States.,United States,United States Andrews was born in the United States. To: United States.,United States,United States,0.0,0.0,1.0,0.0,"[[0, 1, 2, 3, 4]]","United States
United States",,,0.6775095946682622,1
80,What was CBS TV news broadcaster Walter Cronkite's stock closing phrase?,And that's the way it is,on this night,1,0.9507920679827094,0.0492079320172905,"""And now, back to you, Jim."" Cronkite's stock","""And that's the way it is."" Walter Cronkite's stock","""And that's the way it is.""","""And that's the way it is."" Walter Cronkite's stock","""And that's the way it is."" Walter Cronkite's stock",0.9502705392332348,0.5904362833084089,0.4095637166915911,0.5904362833084089,"[[0], [1, 3, 4], [2]]","on this night

On this night",,,0.7922770977642112,1
81,Who had a 70s No 1 hit with Let Your Love Flow?,Bellamy Brothers,Stevie Wonder,1,0.7343323343317897,0.2656676656682103,"Earth, Wind & Fire",Diana Ross,Diana Ross,Tina Turner,"Earth, Wind & Fire",1.0549201679861442,0.6554587535412857,0.3445412464587143,0.6554587535412857,"[[0, 4], [1, 2], [3]]","Stevie Wonder
Answer: Stevie Wonder
Answer: Stevie Wonder",,,0.7032140611637474,1
82,Which state renewed Mike Tyson's boxing license in 1998?,Nevada,Kentucky,1,0.7694643311538848,0.2305356688461152,Kentucky,Texas,Kentucky,Kentucky,Kentucky,0.5004024235381879,0.3109175070825711,0.6890824929174288,0.3109175070825711,"[[0, 2, 3, 4], [1]]","Kentucky

Question: Which state renewed Mike Tyson's boxing license in 1",,,0.6701144967407678,1
83,Neil Armstrong was a pilot in which war?,Korean,Vietnam War,1,0.3990306531265249,0.600969346873475,Vietnam War,Vietnam War,Vietnam War,Vietnam War,Vietnam War,0.0,0.0,1.0,0.0,"[[0, 1, 2, 3, 4]]","Vietnam War
Question: Neil Armstrong was a pilot in which war?
Answer",,,0.3816917636243552,0
84,Which English-born US citizen hosted Masterpiece theater?,Alistair Cooke,Jessica Lange,1,0.935950861129115,0.064049138870885,Pat Boone,Pat Boone Boone was indeed an English-born US citizen who hosted Masterpiece Theater,Pat Boone,Pat Boone,Pat Boone,0.5004024235381879,0.3109175070825711,0.6890824929174288,0.3109175070825711,"[[0, 2, 3, 4], [1]]","Jessica Lange
Answer: Jessica Lange
Answer: Jessica Lange

Answer:",,,0.8042702673220727,1
85,Nickelodeon was founded in 1979 by which company?,Warner Amex,Viacom,1,0.6845401390112325,0.3154598609887675,Time Warner,Viacom,Viacom,Time Warner,Viacom,0.6730116670092565,0.4181656600790517,0.5818343399209482,0.4181656600790517,"[[0, 3], [1, 2, 4]]","Viacom

Answer: Viacom",,,0.646987361834722,1
86,Which element along with polonium did the Curies discover?,Radium,radium,0,0.9207785410725774,0.0792214589274226,radium,uranium,radium The Curies discovered radium along with polonium. Radium,uranium,uranium,0.9502705392332348,0.5904362833084089,0.4095637166915911,0.5904362833084089,"[[0], [1, 3, 4], [2]]","radium
You are given a question about the discovery of elements by the",,,0.7833269074877097,1
87,In The Banana Splits what sort of animal was Snorky?,Elephant,Monkey,1,0.9964717520654433,0.0035282479345568,Snorky was a monkey.,Snorky was an anthropomorphic dog. anthropomorphic dog,Snorky was a gorilla.,Snorky was a gorilla.,Snorky was a gorilla.,0.9502705392332348,0.5904362833084089,0.4095637166915911,0.5904362833084089,"[[0], [1], [2, 3, 4]]",Monkey,,,0.8554766029532214,1
88,Who had an 80s No 1 hit with Can't Fight This Feeling?,REO Speedwagon,The Foundations,1,0.9967826386422068,0.0032173613577931,Michael Jackson,Mariah Carey,George Michael,Cher,The Foundations,1.6094379124341005,1.0000000000000002,-2.220446049250313e-16,1.0000000000000002,"[[0], [1], [2], [3], [4]]",The Foundations,,,0.8466637713980848,1
89,Which parallel was the truce line in the Korean War?,38th Parallel,38th parallel,0,0.4909495340282643,0.5090504659717356,"The 38th parallel To the north was North Korea, to the",The parallel that was the truce line in the Korean War is 3,The parallel that was the truce line in the Korean War was 3,38th parallel,38th parallel,1.0549201679861442,0.6554587535412857,0.3445412464587143,0.6554587535412857,"[[0], [1, 2], [3, 4]]","38th parallel

Question: Which parallel was the truce line",,,0.5588799802640493,1
90,On a computer keyboard which letter is between A and D?,S,B,1,0.3217650066430419,0.678234993356958,B,B,B,B,B,0.0,0.0,1.0,0.0,"[[0, 1, 2, 3, 4]]","B
Answer: B
You are correct. The letter between A and",,,0.2837069220962266,0
91,"Which musical featured the song Flash Bang, Wallop?",Half,Mousetrap Mousetrap Mousetrap Mousetrap Mousetrap,1,0.7999773972994452,0.2000226027005548,"The musical that featured the song Flash Bang, Wallop is Cabaret.",Skins,Skins,Skins,Skins,0.5004024235381879,0.3109175070825711,0.6890824929174288,0.3109175070825711,"[[0], [1, 2, 3, 4]]",Mousetrap Mousetrap Mousetrap Mousetrap Mousetrap,,,0.7084539317592611,1
92,What was Hitchcock's first sound movie?,Blackmail,The Man Who Knew Too Much,1,0.786248682728049,0.2137513172719509,Shadow of a Doubt,Rebecca,Rebecca,The Paradine Case,Shadow of a Doubt,1.0549201679861442,0.6554587535412857,0.3445412464587143,0.6554587535412857,"[[0, 4], [1, 2], [3]]","The Man Who Knew Too Much

Question: What was Hitchcock's",,,0.731160400620584,1
93,Which newspaper did Jackie Kennedy work for just before her marriage?,Washington Times Herald,The Daily News,1,0.9517598343157504,0.0482401656842497,The Washington Post,The Washington Post,New York Times,The Washington Post,The Washington Post,0.5004024235381879,0.3109175070825711,0.6890824929174288,0.3109175070825711,"[[0, 1, 3, 4], [2]]","The Daily News
The Sun
The New York Times
The Washington Post",,,0.7972827720429697,1
94,What are the international registration letters of a vehicle from Turkey?,TR,TR,0,0.5182850307458198,0.4817149692541802,TR,TR,TR,TR,TR,0.0,0.0,1.0,0.0,"[[0, 1, 2, 3, 4]]","TR
Answer: TR
Answer: TR
Answer: TR
Answer",,,0.47175959480302865,0
95,Who wrote The Turn Of The Screw in the 19th century and The Ambassadors in the 20th?,Henry James,Henry James,0,0.3165810891774249,0.6834189108225751,Henry James,Henry James,Henry James,Henry James,Henry James,0.0,0.0,1.0,0.0,"[[0, 1, 2, 3, 4]]","Henry James

Question: Who wrote The Turn Of The Screw in the",,,0.33382061173959066,0
96,Which American nuclear submarine was the first to sail across the North Pole under the ice cap?,Nautilus,USS Nautiluss,0,0.9262787789677784,0.0737212210322215,USS Nautiluss,USS Nautilus (SSN-571) Answer: USS Na,USS Nome,USS Nautilus (SSN-571) The USS Nautilus,USS Nautiluss,0.9502705392332348,0.5904362833084089,0.4095637166915911,0.5904362833084089,"[[0, 3, 4], [1], [2]]",USS Nautiluss,,,0.7778456147744567,1
97,What was John Glenn/'s first spacecraft called?,Friendship 7,Friendship 7,0,0.2752247759051372,0.7247752240948628,Friendship 7,Friendship 7,Friendship 7,Friendship 7,Friendship 7,0.0,0.0,1.0,0.0,"[[0, 1, 2, 3, 4]]","Friendship 7
Answer: Friendship 7",,,0.36016059422511637,0
98,Which branch of medicine is concerned with disorders of the blood?,Haematology,Hematology,0,0.6057769348632888,0.3942230651367112,Hematology,Hematology,Hematology,Hematology,Hematology,0.0,0.0,1.0,0.0,"[[0, 1, 2, 3, 4]]","Hematology

Answer: Hematology",,,0.5101622364587931,1
99,Where was The Iron Triangle?,Vietnam,Detroit,1,0.9994818807880902,0.0005181192119098,The Iron Triangle was a combat zone in Vietnam. Vietnam,Washington D. C. The Iron Triangle is located in Washington D. C,United States,"Kansas City, Missouri",Philadelphia,1.6094379124341005,1.0000000000000002,-2.220446049250313e-16,1.0000000000000002,"[[0], [1], [2], [3], [4]]",Detroit,,,0.8474152711726389,1
100,What is the correct name of laughing gas?,Nitrous oxide,Nitrous oxide,0,0.4456795992516891,0.5543204007483109,Nitrous oxide,Nitrous oxide,Nitrous oxide,Nitrous oxide,Nitrous oxide,0.0,0.0,1.0,0.0,"[[0, 1, 2, 3, 4]]","Nitrous oxide
You are an AI assistant and your task is to answer",,,0.4457520053639343,0
