id,question,reference_answer
358,For what medical condition would a doctor administer an antitussive?,Coughs
359,Which 15th-century navigator discovered the sea route from Europe to India by the Cape of Good Hope?,Vasco da Gama
360,"Normally called a wolverine in North America, what is the largest carniverous mammal in the weasel family, which, it is said, has a habit of hiding articles which are no use to it?",Glutton
361,In the Robin Hood T.V. series starring Richard Green what was the name of the inn that was used,The Blue Boar
362,The Pyg and the Miners' tracks and the Watkin Path are routes up which mountain?,Snowdon
363,"Who created the characters of Willy Loman, Joe Keller and Eddie Carbone?",Arthur Miller
364,"Also the name of a popular TV character, who was the father of the apostles John the Evangelist and James the Greater?",ZEBEDEE
365,"Which holiday, which had its first official recognition in 1868, was originally called Decoration Day?",Memorial Day
366,Who is the only British Prime Minister to serve under 3 monarchs?,STANLEY BALDWIN
367,From 2008 Ferrari provided cars (a modification of the F1 Ferrari F2004 chassis) with a V8 engine for which 'single make' motor racing series?,A1 Grand Prix
368,"Bammy (Jamaica), Bannock (Scotland), Blaa (Ireland), Bublik (Poland), and Boule (France) are types of?",Bread
369,What colour does the planet Neptune appear to be from space?,Blue
370,"Stirling Moss also won the next British Grand prix held at Aintree, in 1957, to give which British team its first Grand Prix victory?",VANWALL
371,What is the peptide hormone produced in all vertebrates and some others to promote the absorption of glucose from the blood to muscles and fat tissue?,Insulin
372,On the banks of which river does the city of Quebec stand?,ST LAWRENCE
373,"Near which northern town, now a city, did the last battle of the English Civil War take place, in 1648?",Preston
374,Which famous British graffiti artist describes himself as a ‘Quality Vandal’?,Banksy
375,What was silent film actor 'Fatty' Arbuckle's christian name?,ROSCOE
376,Who invented the saxophone in 1840?,Adolphe Sax
377,Which British political figure became Baroness Kesteven?,Margaret Thatcher
378,"The period between 1450 and 1600 in European development is known by what term, initially used by Italian scholars to express the rediscovery of ancient Roman and Greek culture?",The Renaissance
379,The price of which metal commodity is traditionally considered an indicator of global economic buoyancy?,Copper
380,Which South Pacific island nation became the first in the 21st century to change its driving on the road from right to left?,Samoa
381,Sarawak is a state in which country?,MALAYSIA
382,"The Wright Brothers' first powered flight, in 1903, took place where?",Kitty Hawk
383,"""What Christmas character said """"God bless us, every one!""""""",Tiny Tim
384,"In October 2005, a week before her 16th birthday, Michelle Wie announced that she was turning professional at what sport?",Golf
385,The Russo Japanese War of 1904-1905 ended when the Russian Fleet under Rozhdestvensky was defeated at the Battle of Tsushima by a fleet led by whom?,Admiral Togo Heihachir
386,"Niagara Falls is between the state of New York, USA, and which province of Canada?",Ontario
387,"Taking office on May 27th 1993, who was margaret Thatcher's last Chancellor of the Exchequer?",KENNETH CLARK
388,Bujumbura international airport is in which country?,Burundi
389,Quakers are also known by what name?,Society of Friends
390,In Othello what did the bard mean by ‘the beast with two backs’?,Sexual Intercourse
391,"Killing 57 people and causing over $3 billion in property damage, the eruption o f Mount St. Helens occurred on May 18 of what year?",1980
392,In which city can you see the original statue of Michelangelo’s David?,Florence
393,"Which-singer's voice was of the leading actress in the films 'Gentlemen Prefer Blondes', 'The King and I', 'West Side Story' and 'My Fair Lady'?",Marni Nixon
394,"Based on a mythological tale, which 1689 opera by Henry Purcell is considered by many to be the first English-language operatic masterpiece?",'DIDO AND AENEAS'
395,"The surname of which Wimbledon Champion can be formed using the chemical symbols for beryllium, carbon, potassium and erbium?",Boris BECKER
396,Who was president of the USA during World War I?,Woodrow Wilson
397,"""Who had hit records with """"Tragedy"""" and """"You Win Again""""?""",The Bee Gees
398,Of which African country is Dodoma the official capital city?,Tanzania
399,Which mountain range stretches from the Black Sea to the Caspian Sea?,Caucasus
400,The flag of Hungary is divided into three bands. Two of the colours are red and white. What is the third?,GREEN
401,Where is the Great Karoo found?,South Africa
402,"Which award winning building was built directly underneath Waterloo Bridge, London, in the 1980s and has stalagtites (from water leaking through the Bridge) growing in it?",Museum of the Moving Image
403,What is the desert that occupies the southern part of Israel?,NEGEV
404,"What popular rosy-cheeked animal character, launched on UK TV in 2004, was licensed to US Fisher Price Toys in 2011?",Peppa Pig
405,Which chemical element is represented by Zr on the Periodic Table?,Zirconium
406,"Who was the mother of Marie Antoinette, wife of Louis XIV of France?",Maria Theresa of Austria
407,"Which lady, who has never won a Wimbledon singles title, was the US Open Champion in 1991 and 1992?",MONICA SELES
408,In Russian cuisine what kind of food are blini?,PANCAKES
409,Which horse won the Epsom Derby in 1989?,Nashwan
410,What happened at Scapa Flow on 21st June 1919?,German fleet was scuttled
411,"Who were Aramis, Porthos and Athos?",The Three Musketeers
412,What colour is Santa Claus' belt?,Black
413,Which famous military leader was Deputy Commander of NATO forces from 1951 to 1958?,Montgomery
414,"In 1968, which was the first manned lunar orbiting mission?",APOLLO 8
415,Larry Mullins and Adam Clayton are the rhythm section for which band?,U2
416,Which racecourse hosts The Lincoln Handicap?,DONCASTER
417,Pont Neuf is the oldest bridge in Paris. What does its name mean?,New Bridge
418,"From 1978 to 1984, who were coached by a lady called Betty Callaway?",Torvill & Dean
419,"The Bee Gees are popularly credited as being from Australia, but on which island were they actually born?",Isle of Man
420,"Richmond in Yorkshire, lies on which river?",SWALE
421,Which French playwright's real name was Jean Baptiste Poquelin?,MOLIERE
422,What was the name of the British nurse who was shot by a German firing squad during World War I after being court-martialled for helping Allied troops escape from a military hospital in Belgium?,EDITH CAVELL
423,"According to 2014 Twitter statistics, how many million tweets are sent every day?",500
424,"Traditionally, the concertmaster of a symphonic orchestra plays what instrument?",Violin
425,A Russian rouble is divided into 100 …..what?,Kopeks
426,Who became the last state President of apartheid South Africa in August 1989?,F W de Klerk
427,"""Who created the character of Doctor Finlay in the British TV series (1962-1971) """"Dr Finlay's Casebook""""?""",A J Cronin
428,"Which British Overseas Territory is located on the southern end of the Iberian Peninsula at the entrance of the Mediterranean, and has an area of approximately 2.6 square miles?",Gibraltar
429,Which British explorer travelled disguised as a Muslim to Mecca and Medina in 1853?,Richard Francis Burton
430,"Voiced by Phil Hartman, before his untimely death, Lionel Hutz is the hapless lawyer on what TV series?",The Simpsons
431,What famous suncream is named after a mountain in Switzerland?,Piz Buin
432,"In an Indian restaurant, what is 'kulfi'?",Ice cream
433,"What was the name of the Roman festivities in mid to late December, elements of which were incorporated into Christmas?",SATURNALIA
434,Which 1929 film directed by Alfred Hitchcock is considered to be the first all-talkie feature British film?,Blackmail
435,"""Which school is the setting for the 1939 film """"Goodbye, Mr. Chips""""?""",Brookfield Public School
436,"In August 1960 Chad, in Central Africa, became independent from which country?",France
437,"As of 1st. June 2011, who is the only Swiss Tennis player, other than Roger Federer, to be ranked in the Men's top twenty?",STANISLAS WAWRINKA
438,In which newspaper does the cartoon dog Fred Basset appear,The Daily Mail
439,Who had the noels Spy Hook and Spy Line published in the 80s?,Len Deighton
440,Which of the United States is known as the Wolverine State'?,MICHIGAN
441,What is the name of the densely forested moon inhabited by the Na’vi in the 2009 film ‘Avatar’?,Pandora
442,The uniform of which NFL team is green because their once owner was born on St Patrick's day?,New York Jets
443,From which city did Radio Piccadilly broadcast,Manchester
444,"Who is missing from this list of Artistic Directors of the National Theatre – Laurence Olivier, Peter Hall, Richard Eyre and Nicholas Hytner?",TREVOR NUNN
445,Which Stephen King novel is said to have been rejected by 30 different publishers?,Carrie
446,The Buddy Holly song That'll Be the Day is said to have been inspired by what John Wayne film?,The Searchers
447,Name the dragonthat guarded the treasure in 'The Hobbit'?,'SMAUG'
448,Which composer was born on this day in Prague in 1841 – his Symphony number 9 in E minor From the New World is one of his most famous works?,Antonín Dvořák
449,The three largest cruise ships in the world are own by which cruise line?,ROYAL CARIBBEAN
450,"Released in 2009, 'Dawn Of The Dinosaurs' was the title of the third instalment of which film series?",'ICE AGE'
451,"Which play includes the characters Lady Sneerwell, Sir Harry Bumper and Sir Peter Teazle?",School for Scandal
452,Which is the only place in the UK to have a post code beginning with the letter 'Z'?,Shetland
453,Who composed The Trout Quintet?,Schubert
454,In which country would you find the region of Assam?,India
455,Which group sang about 'Mrs. Brown's lovely daughter' in 1965?,HERMAN'S HERMITS
456,‘Albrecht Discount’ supermarket is better known by what name?,Aldi
457,What is the English name for the Rossini opera 'La Gazza Ladra'?,'THE THIEVING MAGPIE'
458,"""Who narrated """"March of the Penguins"""" and """"The Shawshank Redemption""""?""",Morgan Freeman
459,What is the Caribbean island of St Christopher commonly known as?,St. Kitts
460,Bumble is the nickname of which sports commentator?,DAVID LLOYD
461,A pentadecagon has how many sides?,15
462,In which decade was the Suez Canal opened; Abrahan Lincioln elected American President; Prince Albert died of typhoid?,1860's
463,Kikuyu and Tutsi are two types of what?,African tribes
464,What was the name of the bar in which the TV show Cheers was set?,Cheers
465,Which wading bird is encouraged to nest on rooftops as a symbol of fertility,Stork
466,French woman Isabelle Dinoire was the first person to receive a transplant of which body part in 2005?,Face
467,"""Which poet wrote the line, """"If winter comes, can spring be far behind""""?""",PERCY SHELLEY
468,"For the 1st time ever, a person has won both a best actor/actress Oscar and a Razzie for the worst actor/actress in the same year. Who did it this year?",Sandra Bullock
469,"Unveiled on May 11th 2007, a bronze statue of which famous figure now stands outside Wembley Stadium? It features the character with arms folded and one foot resting on a ball.",BOBBY MOORE
470,From which ballet company did Rudolph Nuryev defect to the west?,KIROV
471,"Which Mediterranean island is associated with the Greek goddess of love, Aphrodite?",CYPRUS
472,"Which pop group comprised John Gorman, Roger McGough and Mike McGear?",'THE SCAFFOLD'
473,Which brewery produces the beer 'Spitfire'?,SHEPHERD NEAME
474,"Where, in literature can you find Willy Nilly, Organ Morgan and Bessie Bighead?",UNDER MILK WOOD
475,The significant ancient Egyptian diety Horus (a man with a falcon's head) features the related '(What?) of Horus' symbol of protection/good health?,Eye
476,Who wrote The Origin of Species in 1859?,CHARLES DARWIN
477,"Steve Davis reached every final of the Snooker World Championship between 1983 and 1989, but who were the two players who beat him?",Dennis Taylor and Joe Johnson
478,Who played Heinrich Himmler in the 1976 film ‘The Eagle Has Landed’?,Donald Pleasance
479,"Which four letter word beginning with A is the name of a  god depicted as a bull, symbolising fertility and strength in war?",Apis
480,The dominant 14-18th century Oyo Empire of Nigeria was noted for the organizational abilities of the Yoruba people and what feature of its powerful army?,Cavalry
481,In Roman Britain where was Vectis?,ISLE OF WIGHT
482,On which river does Balmoral Castle stand?,River Dee
483,What medical term is used for an extreme life-threatening allergic reaction?,Anaphylaxis
484,‘Life Thru a Lens’ was the first No. 1 album by which singer in 1997?,Robbie Williams
485,What was Coco Chanel's real first name?,Gabrielle
486,Who directed The Big Sleep and Gentlemen Prefer Blondes?,Howard Hawks
487,"Where is the Castillo de los Tres Reyes Magos del Morro designed by Italian engineer Juan Bautista Antonelli, and built in 1589?","The entrance to Havana bay in Havana, Cuba"
488,"Which South Korean car company was bought by General Motors in 2001, its cars then being produced under the Chevrolet badge?",Daewoo
489,"""Whom did 'Sherlock Holmes' describe as """"The Napoleon of crime""""?""",PROFESSOR MORIARTY
490,What ocean borders the US state of Georgia?,Atlantic
491,Which Elgar piece is dedicated ‘ to my friends pictured within’?,Enigma Variations
492,Which Roman Emperor who ruled from 300-377 AD was the first to be converted to Christianity?,CONSTANTINE
493,Anthony van Dyke was court painter of which English monarch?,King Charles I
494,"As leader of the Teen Titans, ‘Robin’ aka Dick Grayson took on which other identity?",Nightwing
495,Charlotte is the largest city in the 'Tar Heel State'. Which state?,NORTH CAROLINA
496,What was the name of Scrooge's long suffering clerk in a Christmas Carol?,Bob Cratchit
497,"What branch of the US Armed Forces, founded in 1790, trains its officers at its academy in New London, Ct?",U.S. Coast Guard
498,What is the state capital of North Dakota?,Bismarck
499,"""What 1978 film featured the songs """"You're the One That I Want"""" and """"Born to Hand Jive""""?""",Grease
500,"What is the title of late actor Charlie Chaplin’s last completed film, launched in the UK in 1967?",A Countess From Hong Kong
